E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0924; 0.1133; 0.261;  84.99  ; 74.44  ; 49.9  ; -0.0686 ; 0.1133 ; 0.261;  91.12  ; 87.04  ; 47.37  ; -0.1006 ; 0.1062 ; 0.2433
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0553; 0.1016; 0.24;  99.94  ; 96.42  ; 170.21  ; -0.0412 ; 0.0417 ; 0.168;  130.76  ; 115.7  ; 161.38  ; -0.1436 ; 0.1065 ; 0.24
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0602; 0.1159; 0.2532;  86.85  ; 61.1  ; 67.22  ; -0.038 ; 0.1373 ; 0.2897;  103.19  ; 95.48  ; 69.26  ; -0.1232 ; 0.135 ; 0.2894
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0484; 0.1136; 0.2616;  74.29  ; 65.14  ; 42.38  ; -0.0467 ; 0.1136 ; 0.2616;  104.67  ; 90.95  ; 147.7  ; -0.0546 ; 0.0844 ; 0.2248
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0478; 0.119; 0.2617;  89.22  ; 65.54  ; 83.28  ; -0.038 ; 0.1282 ; 0.2617;  86.79  ; 67.91  ; 54.85  ; -0.0595 ; 0.119 ; 0.2733
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0768; 0.0894; 0.2268;  97.95  ; 75.11  ; 102.34  ; -0.0545 ; 0.1201 ; 0.2543;  107.97  ; 79.01  ; 93.54  ; -0.0778 ; 0.1442 ; 0.292
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0689; 0.1033; 0.2455;  82.47  ; 61.41  ; 50.23  ; -0.0472 ; 0.1149 ; 0.2651;  140.41  ; 132.89  ; 236.29  ; -0.0995 ; 0.0385 ; 0.161
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0506; 0.0732; 0.2074;  66.43  ; 64.07  ; 8.17  ; -0.048 ; 0.0583 ; 0.15;  135.95  ; 119.77  ; 216.43  ; -0.0811 ; 0.04 ; 0.1656
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.1074; 0.1098; 0.2514;  94.81  ; 75.61  ; 109.44  ; -0.0446 ; 0.1098 ; 0.247;  119.16  ; 113.06  ; 111.54  ; -0.1571 ; 0.1501 ; 0.3076
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0609; 0.1238; 0.2659;  82.02  ; 59.81  ; 38.53  ; -0.0461 ; 0.1056 ; 0.2445;  98.02  ; 90.22  ; 107.6  ; -0.0791 ; 0.1238 ; 0.2659
E7 - [P_{c}=0.80, P_{m}= 0.10, P_{g}=100, P_{pop}=52] ; -0.0469; 0.0914; 0.2312;  72.73  ; 56.33  ; 15.67  ; -0.0437 ; 0.0763 ; 0.1926;  98.17  ; 79.06  ; 103.16  ; -0.0609 ; 0.1326 ; 0.2742
